timestamp_s,uam_id,bs_id,distance_m,received_power_dbm_full_carrier,rsrp_dbm_per_re,is_serving
0.0,UAM01,BS01,1312.670621719004,-64.5788269300449,-89.35003947724152,True
0.0,UAM01,BS02,4238.845680739187,-75.77884741755429,-100.55005996475091,False
0.0,UAM01,BS03,5315.611113250676,-77.94157050262795,-102.71278304982458,False
0.0,UAM01,BS04,15144.495876950237,-87.94500615561668,-112.71621870281331,False
0.0,UAM01,BS05,22451.37986585924,-91.70674692221151,-116.47795946940813,False
0.0,UAM01,BS06,29828.33284318597,-94.42123765937023,-119.19245020656686,False
0.0,UAM01,BS07,29385.993763592378,-94.27848849276677,-119.0497010399634,False
0.0,UAM01,BS08,30439.810408289,-94.61512283583471,-119.38633538303134,False
0.0,UAM01,BS09,35139.425845262,-95.98688263170382,-120.75809517890045,False
0.0,UAM01,BS10,40511.2268485498,-97.34605879051693,-122.11727133771356,False
0.0,UAM01,BS11,43028.55171177196,-97.92204811392818,-122.69326066112481,False
0.0,UAM01,BS12,44117.71884300538,-98.16088715717282,-122.93209970436945,False
0.0,UAM01,BS13,52546.01729324427,-99.83127578385812,-124.60248833105474,False
0.0,UAM01,BS14,52613.58581233262,-99.84355392184204,-124.61476646903867,False
0.0,UAM01,BS15,55825.559578781096,-100.40972795680445,-125.18094050400107,False
0.0,UAM01,BS16,63681.83035714177,-101.66774191163898,-126.43895445883561,False
0.0,UAM01,BS17,69332.42941891619,-102.48000128734854,-127.25121383454517,False
0.0,UAM01,BS18,69681.82991207096,-102.528030123831,-127.29924267102763,False
1.0,UAM01,BS01,1280.067321953722,-64.33852192620124,-89.10973447339786,True
1.0,UAM01,BS02,4214.850408953256,-75.72460772781486,-100.49582027501148,False
1.0,UAM01,BS03,5281.062172714796,-77.87926825478036,-102.65048080197698,False
1.0,UAM01,BS04,15104.621428828963,-87.91981667467047,-112.6910292218671,False
1.0,UAM01,BS05,22423.926387416504,-91.69505658616916,-116.46626913336578,False
1.0,UAM01,BS06,29801.141898171423,-94.41252400487505,-119.18373655207168,False
1.0,UAM01,BS07,29367.49009347677,-94.27247036705185,-119.04368291424848,False
1.0,UAM01,BS08,30420.06462294781,-94.60892299759833,-119.38013554479495,False
1.0,UAM01,BS09,35119.87706459676,-95.98156580094566,-120.75277834814229,False
1.0,UAM01,BS10,40502.79561106377,-97.34407009581957,-122.1152826430162,False
1.0,UAM01,BS11,43019.883967080925,-97.92012324961648,-122.6913357968131,False
1.0,UAM01,BS12,44109.216817345965,-98.15904571449143,-122.93025826168805,False
1.0,UAM01,BS13,52540.556252952425,-99.8302827475282,-124.60149529472483,False
1.0,UAM01,BS14,52608.67911757471,-99.84266283837914,-124.61387538557577,False
1.0,UAM01,BS15,55821.656703558685,-100.40905996096802,-125.18027250816465,False
1.0,UAM01,BS16,63678.54403493895,-101.66724883684515,-126.43846138404177,False
1.0,UAM01,BS17,69330.55491355275,-102.47974296431488,-127.2509555115115,False
1.0,UAM01,BS18,69678.25987552445,-102.52754060293802,-127.29875315013464,False
2.0,UAM01,BS01,1248.615447743373,-64.10083156758542,-88.87204411478204,True
2.0,UAM01,BS02,4191.314261014748,-75.67110503822931,-100.44231758542594,False
2.0,UAM01,BS03,5246.76222415731,-77.81701051343904,-102.58822306063567,False
2.0,UAM01,BS04,15064.807388397485,-87.89459892059945,-112.66581146779608,False
2.0,UAM01,BS05,22396.550881228093,-91.68338519235289,-116.45459773954951,False
2.0,UAM01,BS06,29774.01008708786,-94.40382137239452,-119.17503391959114,False
