corridor_distance_km,time_at_50_mps_s,serving_site_id,serving_site_index_zero_based,serving_rx_full_carrier_dbm,serving_rsrp_centerline_dbm_per_re,serving_rsrp_cross_section_p05_dbm_per_re,serving_rsrp_cross_section_median_dbm_per_re,serving_rsrp_cross_section_p95_dbm_per_re,aggregate_interference_full_carrier_dbm,sinr_centerline_db,sinr_cross_section_p05_db,sinr_cross_section_median_db,sinr_cross_section_p95_db,noise_fraction_centerline
0.0,0.0,BS01,0,-64.5788269300449,-89.35003947724152,-91.67925698207203,-89.35003947724152,-87.03352551589542,-73.71665193800479,9.124977852218013,7.549521639681915,9.124977852218013,10.609208813845642,0.0029537958652417376
0.03771155808522625,0.754231161704525,BS01,0,-64.39737691604708,-89.1685894632437,-91.56864362281866,-89.1685894632437,-86.73524869085534,-73.67339987013466,9.263302923912347,7.6231851188532085,9.263302923912347,10.855335708464665,0.0029246101573733754
0.0754231161704525,1.50846232340905,BS01,0,-64.21727533259732,-88.98848787979395,-91.46048070153651,-88.98848787979395,-86.43164882578881,-73.6304125054311,9.400542245584067,7.694658754791727,9.400542245584067,11.106939820093748,0.002895887976908685
0.11313467425567876,2.262693485113575,BS01,0,-64.03895444317101,-88.81016699036763,-91.35499773284027,-88.81016699036763,-86.12295820737458,-73.58769993375185,9.536273649641776,7.7637207314458445,9.536273649641776,11.363794655255312,0.002867627980339888
0.150846232340905,3.0169246468181,BS01,0,-63.86288789717513,-88.63410044437175,-91.2524313271454,-88.63410044437175,-85.80950955516685,-73.54527235111277,9.67003368884087,7.830142185069025,9.67003368884087,11.625573341059928,0.002839828795743599
0.18855779042613124,3.771155808522625,BS01,0,-63.689591830099076,-88.4608043772957,-91.15302425476105,-88.4608043772957,-85.49175846699885,-73.50314005334288,9.801316529789759,7.893688135562269,9.801316529789759,11.891826393912748,0.0028124890223212005
0.22626934851135752,4.52538697022715,BS01,0,-63.524185859687535,-88.29539840688416,-91.10890522864098,-88.29539840688416,-85.00490055450108,-73.46257406297775,9.926270071533894,7.921513705118713,9.926270071533894,12.309247311823432,0.00278641367667696
0.26398090659658374,5.279618131931675,BS01,0,-63.36977390177094,-88.14098644896757,-91.02383646276073,-88.14098644896757,-84.69232354985796,-73.42416376422598,10.042378287090646,7.974029037236893,10.042378287090646,12.576804567950294,0.002761946226654581
0.30169246468181,6.0338492936362,BS01,0,-63.22069408365513,-87.99190663085176,-90.94287861649268,-87.99190663085176,-84.38022300174049,-73.38612927219745,10.153528205000814,8.022775570131168,10.153528205000814,12.84436656258873,0.002737929296618631
0.3394040227670363,6.788080455340726,BS01,0,-63.07762135227135,-87.84883389946798,-90.86626982394077,-87.84883389946798,-84.07017168513532,-73.34848092652358,10.259055224934126,8.06752276273582,10.259055224934126,13.110373619559953,0.002714361318699664
0.3771155808522625,7.54231161704525,BS01,0,-62.94125407509648,-87.7124666222931,-90.79424448735793,-87.7124666222931,-83.7640493494692,-73.31122907929198,10.358271338595298,8.10804379319569,10.358271338595298,13.372956164515507,0.002691240695705851
0.4148271389374888,8.296542778749775,BS01,0,-62.81230713417614,-87.58351968137276,-90.72703130295045,-87.58351968137276,-83.46407136604165,-73.27438408548343,10.450472026138193,8.14411752720324,10.450472026138193,13.629905172083067,0.002668565801043661
0.45253869702271504,9.0507739404543,BS01,0,-62.6915035397374,-87.46271608693402,-90.66485119856749,-87.46271608693402,-83.1728086068873,-73.23795629313392,10.534944632715352,8.175530574346835,10.534944632715352,13.878651316705565,0.002646334978679145
0.49025025510794124,9.805005102158825,BS01,0,-62.57956460132877,-87.3507771485254,-90.6079152140371,-87.3507771485254,-82.89319265886347,-73.20195603326484,10.610978187268179,8.202079401740564,10.610978187268179,14.116258816669665,0.002624546543157869
0.5279618131931675,10.55923626386335,BS01,0,-62.47719877906253,-87.24841132625916,-90.55642235963887,-87.24841132625916,-82.62849926736389,-73.16639360959346,10.677874540994711,8.223572469449975,10.677874540994711,14.339441225494546,0.002603198779681229
0.5656733712783938,11.313467425567875,BS01,0,-62.327375430544606,-87.09858797774123,-90.31556263690591,-87.09858797774123,-83.10100507724782,-73.11819136663637,10.779620434587597,8.332150292556838,10.779620434587597,13.92853552965356,0.0025745396607356934
0.60338492936362,12.0676985872724,BS01,0,-62.17794159571416,-86.94915414291079,-90.23993914457886,-86.94915414291079,-82.74862025398252,-73.06850958016466,10.879499663709941,8.36538905812551,10.879499663709941,14.220415589998881,0.0025453301739899294
0.6410964874488463,12.821929748976924,BS01,0,-61.98611514016116,-86.75732768735779,-89.72270951343035,-86.75732768735779,-84.06890098410825,-73.0088680676286,11.0118353790583,8.613379243005642,11.0118353790583,13.167324578655787,0.002510701325859475
0.6788080455340726,13.576160910681452,BS01,0,-61.74907716357018,-86.5202897107668,-89.59675230168455,-86.5202897107668,-83.64463403846572,-72.93934290734306,11.179521365934658,8.677806172247498,11.179521365934658,13.51208409736164,0.0024709266470646744
0.7165196036192988,14.330392072385976,BS01,0,-61.48178317915972,-86.25299572635635,-88.89638785655012,-86.25299572635635,-84.7853234217723,-72.86456716847717,11.372222799176221,9.055992348623333,11.372222799176221,12.600207101083537,0.002428849458603537
0.754231161704525,15.0846232340905,BS01,0,-61.17180035534531,-85.94301290254194,-88.72060174455729,-85.94301290254194,-84.3587499096661,-72.78317090817984,11.601005225235117,9.156298899462547,11.601005225235117,12.938830778501691,0.0023838589659160962
0.7919427197897513,15.838854395795027,BS01,0,-60.830539991275145,-85.60175253847177,-88.00428240929402,-85.61856956480007,-84.87176607215962,-72.69887030259692,11.858164011178287,9.58341623223699,11.841264590571312,12.560174352700095,0.002338139399928198
0.8296542778749776,16.59308555749955,BS01,0,-60.453584323267435,-85.22479687046406,-87.13494526318681,-85.56374321906065,-84.98379382642945,-72.61863071338377,12.155065982781448,10.7843390267638,11.73560999943817,12.28323287724967,0.002295435165313547
0.8673658359602038,17.347316719204073,BS01,0,-60.0543597212709,-84.82557226846752,-86.87101412964438,-85.19295245906534,-84.56297393992425,-72.54174470789178,12.477579516597142,10.983103833365075,12.018171345277535,12.621092795997804,0.002255246013382219
0.9050773940454301,18.1015478809086,BS01,0,-59.64092570693745,-84.41213825413408,-86.60567141198521,-84.81137742638457,-84.12507200040868,-72.46434976054228,12.81379158560443,11.179873112801754,12.339441676584455,12.972498678639823,0.0022154998718868593
0.9427889521306563,18.855779042613126,BS01,0,-59.21260311197431,-83.98381565917094,-86.33955140584409,-84.41884741010796,-83.66891259899684,-72.38644036828136,13.164375860905634,11.377116546019703,12.640508221010068,13.348205760270586,0.002176195446732786
0.9805005102158825,19.61001020431765,BS01,0,-58.76874482566899,-83.53995737286562,-86.07341092539237,-84.01530368849454,-83.19325127220928,-72.30801098465056,13.529973912640276,11.574077141105938,12.945661246750287,13.744196354238792,0.00213733143795105
1.0182120683011087,20.364241366022174,BS01,0,-58.30877236783306,-83.07998491502968,-85.80814450385691,-83.60084497775023,-82.69678945317811,-72.22905602353141,13.91115864078272,11.769859540341013,13.283361762932342,14.15901718001485,0.0020989065404373192
1.055923626386335,21.1184725277267,BS01,0,-57.83222923200105,-82.60344177919768,-85.54479955251733,-83.17578730950649,-82.17820265897399,-72.14956986345689,14.308380936251194,11.963414634776205,13.646287507849378,14.595262428294665,0.002060919444759458
1.0936351844715615,21.872703689431226,BS01,0,-57.34141795222605,-82.11263049942268,-85.64628072553349,-82.52570800752925,-81.34665864328153,-72.070333223171,14.720117398406469,11.894839591764383,14.109522257650752,15.232342935769683,0.00202373449812297
1.1313467425567876,22.62693485113575,BS01,0,-56.85191203532762,-81.62312458252424,-85.4188949220431,-82.07871082066771,-80.76662159050144,-71.99550009642513,15.134940336247451,12.057697002565785,14.472777101757268,15.728927127885216,0.0019892310849099638
1.1690583006420139,23.381166012840275,BS01,0,-56.350807903624535,-81.12202045082117,-85.19898220820167,-81.62542331490309,-80.16057981303942,-71.92029817594239,15.560990856265402,12.212910941467765,14.841118262902896,16.250074839940144,0.0019551490712949476
1.20676985872724,24.1353971745448,BS01,0,-55.84028814727102,-80.61150069446765,-84.98814689652568,-81.16848869216807,-79.52834094236121,-71.84472794938154,15.996086861525182,12.358882346553989,15.213138781401236,16.795767416880754,0.001921487222676092
1.2444814168124663,24.889628336249324,BS01,0,-55.32365664229554,-80.09486918949216,-84.7881106219265,-80.71152742978771,-78.87070821043342,-71.76879015949973,16.436925224251215,12.493895183796438,15.609010629662855,17.364319576266436,0.0018882443186015417
1.2821929748976926,25.643859497953848,BS01,0,-54.805692915149024,-79.57690546234565,-84.60068966611018,-80.25935989832078,-78.19009788792857,-71.69248582547831,16.87872744259688,12.616139141047805,15.951656480623077,17.947608517814828,0.001855419154637138
1.3199045329829187,26.398090659658372,BS01,0,-54.293057001868966,-79.06426954906559,-84.42776260199342,-79.81822466328862,-77.49145325728718,-71.61581626585894,17.314834804408136,12.723742002860483,16.348608490820002,18.555379483777962,0.0018230105443189527
1.3576160910681452,27.152321821362904,BS01,0,-53.76815668230551,-78.53936922950214,-83.98760473040024,-79.57425732416803,-77.22085336143736,-71.53477901740034,17.75884423996917,12.983779307209986,16.55619699995117,18.883599395839465,0.0017893697544386724
1.3953276491533713,27.906552983067428,BS01,0,-53.242567676917965,-78.01378022411458,-83.82578640793228,-79.15567418761465,-76.51527847499341,-71.4503931248556,18.200196895421502,13.07220457626785,16.86489724684867,19.50422458140749,0.0017549973184997345
1.4330392072385976,28.660784144771952,BS01,0,-52.74671907451296,-77.51793162170958,-83.68418256332663,-78.7696400043838,-75.82287234556242,-71.3654180700373,18.61121812701607,13.140080563896513,17.13766344290049,20.104437308579765,0.001721050921385142
1.4707507653238239,29.415015306476477,BS01,0,-52.291885315812635,-77.06309786300926,-83.31338553935772,-78.6761876169719,-75.57724459207698,-71.27921842300333,18.979999132561225,13.274087131674582,17.250478916414217,20.298630202928553,0.0016872849968666054
1.50846232340905,30.169246468181,BS01,0,-51.83639579143999,-76.60760833863662,-83.19449931893291,-78.35572349273987,-74.9440120994586,-71.18564182332543,19.342068261592374,13.309136317201611,17.464052839341452,20.838398914476894,0.0016513776606929024
1.5461738814942763,30.923477629885525,BS01,0,-51.457407387183856,-76.22861993438048,-83.10183375488691,-78.09610176116759,-74.39768947348881,-71.09119536216666,19.62676449052089,13.317355404793853,17.618174166361957,21.29021740920092,0.001615910071431878
1.5838854395795026,31.677708791590053,BS01,0,-51.17790321476649,-75.94911576196311,-83.03699113626301,-77.90883585872999,-73.9816904641118,-70.9958627247226,19.811088398663983,13.297135978813214,17.702392948038906,21.61019868712263,0.0015808809325599763
1.6215969976647289,32.431939953294574,BS01,0,-51.009616335561645,-75.78082888275827,-82.93249263662716,-77.86199068506308,-73.87211184143906,-70.89906407547292,19.882727965605863,13.132094889659584,17.71063027634931,21.668931147591938,0.0015460887857779218
1.6593085557499552,33.1861711149991,BS01,0,-50.90424135167713,-75.67545389887376,-82.9091109931974,-77.79409494273675,-73.71410522304849,-70.79654027209466,19.88573580349476,13.060548763040533,17.675268563628997,21.72239869144824,0.0015100722108371512
1.6970201138351813,33.94040227670362,BS01,0,-50.935627073277146,-75.70683962047377,-82.91603323927754,-77.81426182638444,-73.7613498278146,-70.69287791869523,19.750842415455853,12.957780995986282,17.553889424223115,21.569361463749104,0.0014745073742604075
1.7347316719204076,34.69463343840815,BS01,0,-51.034677075638385,-75.80588962283501,-82.97106482726555,-77.80928558276324,-73.83844360630498,-70.58544140529379,19.54451237504145,12.59922389363867,17.511285186677192,21.47316306773263,0.001438530071876917
1.7724432300056336,35.44886460011267,BS01,0,-51.25498532358856,-76.02619787078518,-83.02111833367742,-77.95526910358326,-74.16728376524826,-70.47645160230437,19.215369160999426,12.444024968791409,17.256545663144895,21.035076740471087,0.0014029282112282748
