transition_sequence,corridor_distance_km,from_site_id,to_site_id
1,3.2997613324572965,BS01,BS02
2,4.6950889816106685,BS02,BS03
3,11.181476972269584,BS03,BS04
4,20.94877051634318,BS04,BS05
5,30.338948479564518,BS05,BS07
6,34.298662078513274,BS07,BS08
7,37.95668321278022,BS08,BS09
8,44.40535964535391,BS09,BS10
9,47.76168831493905,BS10,BS11
10,50.36378582281966,BS11,BS12
11,56.0205195356036,BS12,BS13
12,62.770888432859095,BS13,BS15
13,68.80473772649529,BS15,BS16
